C1CCCOCO1	4.07e+02	1.00e+00	-29.39	-35.156124114990234
C1CCCOCO1	4.37e+02	1.00e+00	-27.38	-33.3623046875
C1CCCOCO1	4.67e+02	1.00e+00	-25.25	-31.582406997680664
C1CCCOCO1	2.57e+02	5.00e+01	-40.32	-45.530521392822266
C1CCCOCO1	2.87e+02	5.00e+01	-38.07	-43.344947814941406
C1CCCOCO1	3.17e+02	5.00e+01	-36.09	-41.15848922729492
C1CCCOCO1	3.47e+02	5.00e+01	-33.94	-39.03099060058594
C1CCCOCO1	3.77e+02	5.00e+01	-32.07	-37.39033508300781
C1CCCOCO1	4.07e+02	5.00e+01	-29.87	-35.62223815917969
C1CCCOCO1	4.37e+02	5.00e+01	-27.85	-33.823974609375
C1CCCOCO1	4.67e+02	5.00e+01	-25.95	-32.04301834106445
C1CCCOCO1	2.57e+02	1.00e+02	-40.7	-45.70888900756836
C1CCCOCO1	2.87e+02	1.00e+02	-38.44	-43.523414611816406
C1CCCOCO1	3.17e+02	1.00e+02	-36.21	-41.337066650390625
C1CCCOCO1	3.47e+02	1.00e+02	-34.26	-39.23592758178711
C1CCCOCO1	3.77e+02	1.00e+02	-32.42	-37.589996337890625
C1CCCOCO1	4.07e+02	1.00e+02	-30.43	-36.103607177734375
C1CCCOCO1	4.37e+02	1.00e+02	-28.46	-34.29613494873047
C1CCCOCO1	4.67e+02	1.00e+02	-26.43	-32.51216506958008
C1CCCOCO1	2.57e+02	2.50e+02	-40.93	-46.2431526184082
C1CCCOCO1	2.87e+02	2.50e+02	-38.96	-44.0579948425293
C1CCCOCO1	3.17e+02	2.50e+02	-36.78	-41.87200164794922
C1CCCOCO1	3.47e+02	2.50e+02	-35.01	-39.84056091308594
C1CCCOCO1	3.77e+02	2.50e+02	-33.19	-38.20138168334961
C1CCCOCO1	4.07e+02	2.50e+02	-31.41	-36.72356414794922
C1CCCOCO1	4.37e+02	2.50e+02	-29.65	-35.45509338378906
C1CCCOCO1	4.67e+02	2.50e+02	-27.95	-33.92409133911133
C1CCCOCO1	2.57e+02	5.00e+02	-41.39	-47.13023376464844
C1CCCOCO1	2.87e+02	5.00e+02	-39.69	-44.94574737548828
C1CCCOCO1	3.17e+02	5.00e+02	-37.69	-42.760459899902344
C1CCCOCO1	3.47e+02	5.00e+02	-35.94	-40.820770263671875
C1CCCOCO1	3.77e+02	5.00e+02	-34.28	-39.197261810302734
C1CCCOCO1	4.07e+02	5.00e+02	-32.72	-37.72237014770508
C1CCCOCO1	4.37e+02	5.00e+02	-31.16	-36.431705474853516
C1CCCOCO1	4.67e+02	5.00e+02	-29.67	-35.14706039428711
C1CCCOCO1	2.57e+02	7.50e+02	-42.09	-48.011962890625
C1CCCOCO1	2.87e+02	7.50e+02	-40.27	-45.82835388183594
C1CCCOCO1	3.17e+02	7.50e+02	-38.52	-43.64396667480469
C1CCCOCO1	3.47e+02	7.50e+02	-36.78	-41.801597595214844
C1CCCOCO1	3.77e+02	7.50e+02	-35.22	-40.17767333984375
C1CCCOCO1	4.07e+02	7.50e+02	-33.65	-38.68793869018555
C1CCCOCO1	4.37e+02	7.50e+02	-32.25	-37.410194396972656
C1CCCOCO1	4.67e+02	7.50e+02	-31.01	-36.14275360107422
C1CCCOCO1	2.57e+02	1.00e+03	-42.55	-48.886627197265625
C1CCCOCO1	2.87e+02	1.00e+03	-40.78	-46.70417022705078
C1CCCOCO1	3.17e+02	1.00e+03	-39.1	-44.52094650268555
C1CCCOCO1	3.47e+02	1.00e+03	-37.56	-42.75372314453125
C1CCCOCO1	3.77e+02	1.00e+03	-36.05	-41.15220260620117
C1CCCOCO1	4.07e+02	1.00e+03	-34.54	-39.64808654785156
C1CCCOCO1	4.37e+02	1.00e+03	-33.22	-38.36973190307617
C1CCCOCO1	4.67e+02	1.00e+03	-32.01	-37.10380554199219
CC1CCCOC1	4.09e+02	1.00e+00	-26.87	-29.569183349609375
CC1CCCOC1	4.39e+02	1.00e+00	-25.1	-27.872034072875977
CC1CCCOC1	4.69e+02	1.00e+00	-23.02	-26.11691665649414
CC1CCCOC1	4.69e+02	5.00e+01	-23.88	-26.62772560119629
CC1CCCOC1	4.09e+02	2.50e+02	-28.97	-31.901723861694336
CCCOCCC	4.25e+02	1.00e+00	-24.83	-28.882749557495117
CCCOCCC	4.25e+02	5.00e+01	-25.8	-29.271825790405273
CCCOCCC	4.25e+02	1.00e+02	-26.61	-29.649208068847656
CCCOCCCC	4.46e+02	1.00e+00	-27.84	-30.637907028198242
O1CCOCCOCCOCC1	3.14e+02	1.00e+00	-59.58	-69.41984558105469
O1CCOCCOCCOCC1	3.49e+02	1.00e+00	-56.18	-66.84561920166016
O1CCOCCOCCOCC1	3.83e+02	1.00e+00	-53.45	-64.30218505859375
O1CCOCCOCCOCC1	4.18e+02	1.00e+00	-50.9	-61.00128936767578
O1CCOCCOCCOCC1	4.52e+02	1.00e+00	-48.32	-57.81462478637695
O1CCOCCOCCOCC1	4.87e+02	1.00e+00	-45.53	-54.530879974365234
O1CCOCCOCCOCC1	5.21e+02	1.00e+00	-42.98	-51.55192947387695
O1CCOCCOCCOCC1	5.56e+02	1.00e+00	-40.28	-48.346649169921875
O1CCOCCOCCOCC1	3.14e+02	5.00e+01	-59.61	-69.6014633178711
O1CCOCCOCCOCC1	3.49e+02	5.00e+01	-56.47	-67.02727508544922
O1CCOCCOCCOCC1	3.83e+02	5.00e+01	-53.87	-64.52485656738281
O1CCOCCOCCOCC1	4.18e+02	5.00e+01	-51.49	-61.49916076660156
O1CCOCCOCCOCC1	4.52e+02	5.00e+01	-48.61	-58.31837844848633
O1CCOCCOCCOCC1	4.87e+02	5.00e+01	-46.26	-55.06706237792969
O1CCOCCOCCOCC1	5.21e+02	5.00e+01	-43.98	-52.42264938354492
O1CCOCCOCCOCC1	5.56e+02	5.00e+01	-41.37	-49.30661392211914
O1CCOCCOCCOCC1	3.14e+02	1.00e+02	-59.2	-69.78678131103516
O1CCOCCOCCOCC1	3.49e+02	1.00e+02	-56.98	-67.21260833740234
O1CCOCCOCCOCC1	3.83e+02	1.00e+02	-53.92	-64.71149444580078
O1CCOCCOCCOCC1	4.18e+02	1.00e+02	-51.49	-62.02080535888672
O1CCOCCOCCOCC1	4.52e+02	1.00e+02	-49.22	-58.82863998413086
O1CCOCCOCCOCC1	4.87e+02	1.00e+02	-46.76	-55.585243225097656
O1CCOCCOCCOCC1	5.21e+02	1.00e+02	-44.42	-52.798187255859375
O1CCOCCOCCOCC1	5.56e+02	1.00e+02	-42.09	-50.33881378173828
O1CCOCCOCCOCC1	3.14e+02	2.50e+02	-60.44	-70.34274291992188
O1CCOCCOCCOCC1	3.49e+02	2.50e+02	-57.55	-67.76863098144531
O1CCOCCOCCOCC1	3.83e+02	2.50e+02	-54.99	-65.267578125
O1CCOCCOCCOCC1	4.18e+02	2.50e+02	-52.71	-62.67659378051758
O1CCOCCOCCOCC1	4.52e+02	2.50e+02	-50.39	-60.19443893432617
O1CCOCCOCCOCC1	4.87e+02	2.50e+02	-48.07	-57.10890579223633
O1CCOCCOCCOCC1	5.21e+02	2.50e+02	-45.98	-54.1551513671875
O1CCOCCOCCOCC1	5.56e+02	2.50e+02	-43.81	-52.30893325805664
O1CCOCCOCCOCC1	3.14e+02	5.00e+02	-61.17	-71.26930236816406
O1CCOCCOCCOCC1	3.49e+02	5.00e+02	-58.5	-68.69532012939453
O1CCOCCOCCOCC1	3.83e+02	5.00e+02	-56.56	-66.19432830810547
O1CCOCCOCCOCC1	4.18e+02	5.00e+02	-54.02	-63.604007720947266
O1CCOCCOCCOCC1	4.52e+02	5.00e+02	-51.94	-61.13591384887695
O1CCOCCOCCOCC1	5.21e+02	5.00e+02	-47.93	-56.37627029418945
O1CCOCCOCCOCC1	5.56e+02	5.00e+02	-46.19	-54.39329528808594
O1CCOCCOCCOCC1	3.14e+02	7.50e+02	-61.97	-72.19581604003906
O1CCOCCOCCOCC1	3.49e+02	7.50e+02	-59.72	-69.62198638916016
O1CCOCCOCCOCC1	3.83e+02	7.50e+02	-57.45	-67.12105560302734
O1CCOCCOCCOCC1	4.18e+02	7.50e+02	-55.39	-64.53335571289062
O1CCOCCOCCOCC1	4.52e+02	7.50e+02	-53.27	-62.072967529296875
O1CCOCCOCCOCC1	4.87e+02	7.50e+02	-51.42	-59.54383087158203
O1CCOCCOCCOCC1	5.21e+02	7.50e+02	-49.7	-57.406742095947266
O1CCOCCOCCOCC1	5.56e+02	7.50e+02	-47.93	-55.76685333251953
O1CCOCCOCCOCC1	3.14e+02	1.00e+03	-62.64	-73.12226867675781
O1CCOCCOCCOCC1	3.49e+02	1.00e+03	-60.82	-70.54863739013672
O1CCOCCOCCOCC1	3.83e+02	1.00e+03	-58.41	-68.04778289794922
O1CCOCCOCCOCC1	4.18e+02	1.00e+03	-56.28	-65.46438598632812
O1CCOCCOCCOCC1	4.52e+02	1.00e+03	-54.37	-63.01063919067383
O1CCOCCOCCOCC1	4.87e+02	1.00e+03	-52.71	-60.48579406738281
O1CCOCCOCCOCC1	5.21e+02	1.00e+03	-51.12	-58.43449783325195
O1CCOCCOCCOCC1	5.56e+02	1.00e+03	-49.45	-56.803184509277344
COC=O	1.99e+02	1.00e+00	-30.35	-39.302860260009766
COC=O	2.26e+02	1.00e+00	-28.66	-37.067840576171875
COC=O	2.54e+02	1.00e+00	-27.05	-34.87744140625
COC=O	2.81e+02	1.00e+00	-25.62	-33.371604919433594
COC=O	3.08e+02	1.00e+00	-24.21	-32.10956954956055
COC=O	3.35e+02	1.00e+00	-22.68	-30.849361419677734
COC=O	3.63e+02	1.00e+00	-21.16	-29.43364143371582
COC=O	3.90e+02	1.00e+00	-19.27	-27.91658592224121
COC=O	1.99e+02	5.00e+01	-30.37	-39.450931549072266
COC=O	2.26e+02	5.00e+01	-28.78	-37.21159744262695
COC=O	2.54e+02	5.00e+01	-27.24	-35.01658248901367
COC=O	2.81e+02	5.00e+01	-25.73	-33.52084732055664
COC=O	3.08e+02	5.00e+01	-24.34	-32.25863265991211
COC=O	3.35e+02	5.00e+01	-22.88	-30.998605728149414
COC=O	3.63e+02	5.00e+01	-21.29	-29.58643913269043
COC=O	3.90e+02	5.00e+01	-19.71	-28.176158905029297
COC=O	1.99e+02	1.00e+02	-30.44	-39.60243606567383
COC=O	2.26e+02	1.00e+02	-28.9	-37.35843276977539
COC=O	2.54e+02	1.00e+02	-27.43	-35.15864181518555
COC=O	2.81e+02	1.00e+02	-25.79	-33.673160552978516
COC=O	3.08e+02	1.00e+02	-24.5	-32.41074752807617
COC=O	3.35e+02	1.00e+02	-23.03	-31.15087127685547
COC=O	3.63e+02	1.00e+02	-21.65	-29.742111206054688
COC=O	3.90e+02	1.00e+02	-20.15	-28.335189819335938
COC=O	1.99e+02	2.50e+02	-30.62	-40.05967330932617
COC=O	2.26e+02	2.50e+02	-29.17	-37.79994583129883
COC=O	2.54e+02	2.50e+02	-27.59	-35.58533477783203
COC=O	2.81e+02	2.50e+02	-26.23	-34.130287170410156
COC=O	3.08e+02	2.50e+02	-24.99	-32.86713409423828
COC=O	3.35e+02	2.50e+02	-23.65	-31.607521057128906
COC=O	3.63e+02	2.50e+02	-22.35	-30.209102630615234
COC=O	3.90e+02	2.50e+02	-21.0	-28.80225944519043
COC=O	1.99e+02	5.00e+02	-30.98	-40.824886322021484
COC=O	2.26e+02	5.00e+02	-29.59	-38.53976058959961
COC=O	2.54e+02	5.00e+02	-28.07	-36.284339904785156
COC=O	2.81e+02	5.00e+02	-26.86	-34.89279556274414
COC=O	3.08e+02	5.00e+02	-25.65	-33.62795639038086
COC=O	3.35e+02	5.00e+02	-24.32	-32.368316650390625
COC=O	3.63e+02	5.00e+02	-23.15	-30.98743438720703
COC=O	3.90e+02	5.00e+02	-22.03	-29.580541610717773
COC=O	1.99e+02	7.50e+02	-31.15	-41.57838821411133
COC=O	2.26e+02	7.50e+02	-29.71	-39.28596496582031
COC=O	2.54e+02	7.50e+02	-28.52	-37.01702880859375
COC=O	2.81e+02	7.50e+02	-27.15	-35.65624237060547
COC=O	3.08e+02	7.50e+02	-26.08	-34.38907241821289
COC=O	3.35e+02	7.50e+02	-24.85	-33.12895965576172
COC=O	3.63e+02	7.50e+02	-23.81	-31.76580047607422
COC=O	3.90e+02	7.50e+02	-22.75	-30.358816146850586
COC=O	1.99e+02	1.00e+03	-31.41	-42.331886291503906
COC=O	2.26e+02	1.00e+03	-30.17	-40.04068374633789
COC=O	2.54e+02	1.00e+03	-28.77	-37.77379608154297
COC=O	2.81e+02	1.00e+03	-27.65	-36.42087936401367
COC=O	3.08e+02	1.00e+03	-26.5	-35.150596618652344
COC=O	3.35e+02	1.00e+03	-25.4	-33.88959884643555
COC=O	3.63e+02	1.00e+03	-24.34	-32.547889709472656
COC=O	3.90e+02	1.00e+03	-23.37	-31.13709259033203
COC(=O)C(C)(C)C	4.53e+02	1.00e+00	-26.21	-28.83399200439453
O=COC1CCC2C(C1)CCCC2	5.77e+02	1.00e+02	-45.34	-40.793601989746094
O=C(C(C)(C)C)CCC(=O)C(C)(C)C	5.83e+02	1.00e+00	-41.31	-46.0966682434082
O=C(C(C)(C)C)CCC(=O)C(C)(C)C	5.83e+02	5.00e+01	-42.66	-46.99909210205078
CC(=O)OC(COC(=O)C)COC(=O)C	4.88e+02	1.00e+00	-55.67	-61.444183349609375
CC(=O)OC(COC(=O)C)COC(=O)C	5.26e+02	1.00e+00	-51.45	-57.58146286010742
CC(=O)OC(COC(=O)C)COC(=O)C	5.63e+02	1.00e+00	-47.56	-53.8385009765625
CC(=O)OC(COC(=O)C)COC(=O)C	4.88e+02	5.00e+01	-55.97	-62.3302001953125
CC(=O)OC(COC(=O)C)COC(=O)C	5.26e+02	5.00e+01	-52.52	-58.46747589111328
CC(=O)OC(COC(=O)C)COC(=O)C	5.63e+02	5.00e+01	-48.77	-54.725433349609375
CC(=O)OC(COC(=O)C)COC(=O)C	4.88e+02	1.00e+02	-56.89	-63.234291076660156
CC(=O)OC(COC(=O)C)COC(=O)C	5.26e+02	1.00e+02	-53.27	-59.371551513671875
CC(=O)OC(COC(=O)C)COC(=O)C	5.63e+02	1.00e+02	-50.04	-55.63036346435547
CC(=O)OC(COC(=O)C)COC(=O)C	4.51e+02	2.50e+02	-62.28	-68.54639434814453
CC(=O)OC(COC(=O)C)COC(=O)C	4.88e+02	2.50e+02	-58.78	-65.64317321777344
CC(=O)OC(COC(=O)C)COC(=O)C	5.26e+02	2.50e+02	-55.32	-62.08375549316406
CC(=O)OC(COC(=O)C)COC(=O)C	5.63e+02	2.50e+02	-52.25	-58.344322204589844
CC(=O)OC(COC(=O)C)COC(=O)C	4.51e+02	5.00e+02	-64.12	-70.8446044921875
CC(=O)OC(COC(=O)C)COC(=O)C	4.88e+02	5.00e+02	-60.89	-67.9884033203125
CC(=O)OC(COC(=O)C)COC(=O)C	5.26e+02	5.00e+02	-57.95	-65.05403900146484
CC(=O)OC(COC(=O)C)COC(=O)C	5.63e+02	5.00e+02	-55.31	-62.20551300048828
CC(=O)OC(COC(=O)C)COC(=O)C	4.51e+02	7.50e+02	-65.93	-72.60733032226562
CC(=O)OC(COC(=O)C)COC(=O)C	4.88e+02	7.50e+02	-62.71	-70.1605224609375
CC(=O)OC(COC(=O)C)COC(=O)C	5.26e+02	7.50e+02	-59.95	-67.3492202758789
CC(=O)OC(COC(=O)C)COC(=O)C	5.63e+02	7.50e+02	-57.66	-64.51358795166016
CC(=O)OC(COC(=O)C)COC(=O)C	4.88e+02	1.00e+03	-64.56	-71.45061492919922
CC(=O)OC(COC(=O)C)COC(=O)C	5.26e+02	1.00e+03	-61.65	-68.99832916259766
CC(=O)OC(COC(=O)C)COC(=O)C	5.63e+02	1.00e+03	-59.43	-66.59963989257812
CC=CC=C	1.70e+02	1.00e+03	-35.22	-39.042598724365234
CCC(C=C)(CC)C	4.54e+02	1.00e+00	-24.82	-27.54532241821289
C=CC1CCC(C(C1)C=C)C=C	2.93e+02	1.00e+00	-55.56	-62.19756317138672
C=CC1CCC(C(C1)C=C)C=C	3.31e+02	1.00e+00	-52.29	-58.47712326049805
C=CC1CCC(C(C1)C=C)C=C	4.06e+02	1.00e+00	-46.27	-51.03504180908203
C=CC1CCC(C(C1)C=C)C=C	5.57e+02	1.00e+00	-34.82	-39.14402770996094
C=CC1CCC(C(C1)C=C)C=C	2.93e+02	5.00e+01	-55.75	-62.38163375854492
C=CC1CCC(C(C1)C=C)C=C	3.31e+02	5.00e+01	-52.53	-58.97597122192383
C=CC1CCC(C(C1)C=C)C=C	3.68e+02	5.00e+01	-49.62	-54.59347915649414
C=CC1CCC(C(C1)C=C)C=C	5.57e+02	5.00e+01	-36.3	-39.9715576171875
C=CC1CCC(C(C1)C=C)C=C	2.93e+02	1.00e+02	-55.9	-62.568355560302734
C=CC1CCC(C(C1)C=C)C=C	3.31e+02	1.00e+02	-52.77	-59.32717514038086
C=CC1CCC(C(C1)C=C)C=C	2.93e+02	2.50e+02	-56.96	-63.12839889526367
C=CC1CCC(C(C1)C=C)C=C	3.31e+02	2.50e+02	-53.76	-59.892818450927734
C=CC1CCC(C(C1)C=C)C=C	2.93e+02	5.00e+02	-57.91	-64.06179809570312
C=CC1CCC(C(C1)C=C)C=C	3.31e+02	5.00e+02	-55.14	-60.8265380859375
C=CC1CCC(C(C1)C=C)C=C	2.93e+02	7.50e+02	-58.79	-64.99520111083984
C=CC1CCC(C(C1)C=C)C=C	2.93e+02	1.00e+03	-59.64	-65.92859649658203
Oc1cc(cc(c1)C(C)C)C(C)C	3.36e+02	1.00e+00	-74.41	-52.32539749145508
